Nama|NPWP|Komite Audit Ketua|Nama Penerima|Komite Audit Anggota 2|Komite Audit Anggota 3|Komite Audit Anggota 4|Komite Audit Anggota 5|Direktur Utama|Direktur 1|Direktur 2|Direktur 3|Direktur 4|Direktur 5|Direktur 6|Direktur 7|Direktur 8|Direktur 9|Direktur 10|Direktur 11|Direktur 12|Direktur 13|Direktur 14|Komisaris Utama|Komisaris 1|Komisaris 2|Komisaris 3|Komisaris 4|Komisaris 5|Komisaris 6|Komisaris 7|Komisaris 8|Komisaris 9|Komisaris 10|Komisaris 11|Komisaris 12|Komisaris 13|Komisaris 14|Corporate Secretary|Established Date|Listing Date|Alamat|Phone|Fax|Homepage|Email|Pemilik Saham 1
PT Adaro Andalan Indonesia Tbk|024331159091000|Budi Bowoleksono||Ignatius Robby Sani|Lindawati Gani|||Julius Aslan|Priyadi|Lie Luckman|Susanti||||||||||||Budi Bowoleksono|Primus Dorimulu||||||||||||||Ray Aryaputra||2024-12-05|Cyber 2 Tower Lantai 26 Jl. H.R. Rasuna Said Blok X-5, No.13 Jakarta 12950 - Indonesia|(021) 2553 3065|(021) 2553 3066|www.adaroindonesia.com|corsec@adaroindonesia.com|PT Adaro Strategic Investments
Astra Agro Lestari Tbk|0013344270054000|Ratna Wardhani||Herawati Prasetyo|Juliani Eliza Syaftari|||DJAP TET FA|EKO PRASETYO|WIDAYANTO|TINGNING SUKOWIGNJO|ARIEF CATUR IRAWAN|BANDUNG SAHARI|VERONICA LUSI HERDIYANTI|||||||||SANTOSA|JOHANNES LOMAN|RATNA WARDHANI|ARIDONO SUKMANTO||||||||||||Tingning Sukowignjo||1997-12-09|Jl. Puloayang Raya Kawasan Industri Pulo Gadung, OR, 1, Jatinegara, Cakung, Kota ADM, Jakarta Timur, DKI Jakarta, 13930|461-65-55|461-6655, 461-6677, 461-6688|http://www.astra-agro.co.id|Investor@astra-agro.co.id|PT Astra International Tbk
Mahaka Media Tbk|016090524054000|Aldo Rambie||Otto Eduard Sitorus|Isenta|||Ronny Wilimas Sugiadha|Muhammad Fadri Attamimi||||||||||||||Rudy Setia Laksmana|Martin Suharlie|Aldo Rambie|||||||||||||S. Pramudityo Anggoro||2002-04-03|Sahid Sudirman Centre Lt. 10, Jl. Jend. Sudirman No. 86, Jakarta 10220|(021) 573 9203|(021) 573 9210|www.mahakax.com|corsec@mahakax.com|PT Beyond Media
Asuransi Bina Dana Arta Tbk|013620141054000|Herwan Ng||Francisco Noriega Malave|Kusuwandi Tamin|||Vincent Citizen Soegianto|Julien Pierre Combaret|Liani Chandra|Fenni Sutanto||||||||||||Abhishek Bhatia|Kevin Soedyatmiko|Herwan Ng|Francisco Noriega Malave||||||||||||Fausia Isti Tanoso||1989-07-06|Plaza Asia Lt. 27 Jl. Jend. Sudirman Kav. 59 Jakarta Selatan|5140 1688|5140 1698|www.myoona.id|contactus@oona-insurance.co.id|OONA INDONESIA PTE. LTD.
ABM Investama Tbk|025041914054000|Manggi Taruna Habir||Ferry A.J. Alis|Agus Yulianto|||Achmad Ananda Djajanegara|Haris Mustarto|Feriwan Sinatra|Hans Christian Manoe||||||||||||Rachmat Mulyana Hamami|Mivida Hamami|Arief Tarunakarya Surowidjojo|Manggi Taruna Habir||||||||||||Hans Christian Manoe||2011-12-06|Gedung TMT 1 Lantai 18 Jl. Cilandak KKO No. 1 Jakarta 12560|021-29976767|021-29976768|www.abm-investama.com|corporate.secretary@abm-investama.co.id|PT. Tiara Marga Trakindo
PT Aspirasi Hidup Indonesia Tbk|017211236054000|Irjen Pol (Purn.) Drs. Mathius Salempang||Julianto Sidarto|Dr. Liany Leo|||PRABOWO WIDYA KRISNADI|SUGIYANTO WIBAWA|SUHARNO|GREGORY SUGYONO WIDJAJA|TERESA LUCIA WIBOWO|||||||||||KUNCORO WIBOWO|IR. HARTANTO DJASMAN|LETJEN TNI (PURN) TARUB|IRJEN POL (PURN) MATHIUS SALEMPANG|TARISA WIDYA KRISNADI|||||||||||Gregory Sugyono Widjaja||2007-11-06|Gedung Kawan Lama, Jl. Puri Kencana No. 1, Kembangan Selatan, Kembangan, Jakarta Barat 11610|021 - 5828282|021 - 5824022|https://ahi.id/|corsec@ahi.id|PT KAWAN LAMA SEJAHTERA
PT Samcro Hyosung Adilestari Tbk.|010680288052000|Seok Jin Kim||Aprelia Shanty Sitanggang|Rosana Purba|||Chung Tae Sung|Suwardi|Cahya Wulandari, SH|ASWINTH MARATIMBO||||||||||||Lim Sung Pil|Seok Jin Kim||||||||||||||Endri Kusumah S.T||2024-01-11|Jl. Raya Serang KM 17,2 Desa Bojong Kecamatan Cikupa, Kabupaten Tangerang. Banten, 15710|021-5960543|021-5960548|https//www.samcro.co.id|corsec@samcro.co.id|Chung Tae Sung
PT Acset Indonusa Tbk.|017096264054000|Buntoro Muljono||Lindawati Gani|Herawati P|||Idot Supriadi|David Widjaja|Soeharsono Tjatur Nugroho|Tjatur Haripriambodo|Hasnanto Wahyudi|||||||||||Frans Kesuma|Iwan Hadiantoro|Vilihati Surya|Putut Eko Bayuseno|Buntoro Muljono|Lindawati Gani||||||||||Kadek Ratih Paramita Absari||2013-06-24|ACSET Building, Jalan Majapahit No.26, Kelurahan Petojo Selatan, Kecamatan Gambir, Jakarta 10160|(021) 3511961|(021) 3441413|www.acset.co|corporate.secretary@acset.co|PT Karya Supra Perkasa
PT Adhi Commuter Properti Tbk|852270297093000|WENRY ANSHORY PUTRA||SUKMA HADI|SITI NURWAHYUNINGSIH|||Rizkan Firman|Farid Budiyanto|Achmad Wachid Abdullah|||||||||||||Herry Ardianto|Achmad Afandi|Wenry Anshory Putra|||||||||||||Bayu Purwana||2021-05-21|Jl. Pengantin Ali No. 88, Ciracas Kota Jakarta Timur, DKI Jakarta 13740|(021) 228 229 80|(021) 228 220 81|www.adcp.co.id|corsec@adcp.co.id|PT Adhi Karya (Persero) Tbk
Akasha Wira International Tbk Tbk|013714910054000|Miscellia Dotulong||Christine|Zulbahri|||Wihardjo Hadiseputro|Raimond Bing Lesnussa||||||||||||||Hanjaya Limanto|Nana Puspa Dewi|Julianto|||||||||||||Aprianti Kartika||1994-06-13|Jl. TB.Simatupang Kav. 89 RT 01 RW 02, Kelurahan Tanjung Barat, Kecamatan Jagakarsa, Jakarta Selatan - 12530|081119345000|-|www.akashainternational.com|corporate.secretary@akashainternational.com|Water Partners Bottling, SA
